"id","time","I"
18,2.01267246400949,2
18,2.22708150763654,3
18,2.82475016504586,4
18,3.44545385308102,5
18,3.64710816590839,6
18,3.73679502856659,7
18,3.88590337805718,8
18,4.20722589494147,9
18,4.30796376597165,10
18,4.33026238797852,11
18,4.61719277454308,12
18,4.65809913430313,13
18,5.16201264387535,14
18,5.17178827350688,15
18,5.7498744748269,16
18,5.93944622813664,17
18,6.0359627092876,18
18,6.1830820206898,19
18,6.31660021109937,20
18,6.32445373785796,21
18,6.37512371911338,22
18,6.52568797408119,23
18,6.53557099396613,24
18,6.8314998139623,25
18,7.13102767746455,26
18,7.43955392672118,27
18,7.55293366903818,28
18,7.84526718676046,29
18,7.88458856242522,30
18,7.92045846535638,31
18,8.32410834656744,32
18,8.34883328504177,33
18,8.35509685803931,34
18,8.35872030983668,35
18,8.65013514399519,36
18,9.00247620300389,37
18,9.0665171181142,38
18,9.63319586406808,39
18,9.70385660602935,40
18,9.80314449299351,41
19,0,1
19,3.23215395573928,2
19,4.39548123768628,3
19,6.11311543211205,4
19,6.12618804828286,5
19,6.42032140876358,6
19,6.91080305285801,7
19,7.57981280502085,8
19,7.90941182291295,9
19,7.93664230645011,10
19,8.30709807458008,11
19,8.76891015984508,12
19,8.83318001107858,13
19,8.84783914522228,14
19,8.9111760468493,15
19,9.13194427534622,16
19,9.18687916866769,17
19,9.22382445127034,18
19,9.39137607007222,19
19,9.43828921342002,20
19,9.48864865934675,21
19,9.57900338471046,22
19,9.82734106086774,23
19,9.96292769785419,24
20,0,1
20,0.943062039628877,2
20,3.01114470344697,3
20,3.08589374080895,4
20,3.57367869978171,5
20,3.99262110247299,6
20,4.73943008099836,7
20,5.16612958588366,8
20,5.41224486269436,9
20,5.48961645949743,10
20,6.08302958936311,11
20,6.26196873222552,12
20,6.40965544948808,13
20,6.42758119754254,14
20,6.49506093871789,15
20,6.51138569562498,16
20,6.69104697923659,17
20,6.72107413632217,18
20,6.85178583575232,19
20,7.38867866728834,20
20,7.6906766565056,21
20,7.70186665358851,22
20,7.7040667257002,23
20,7.97531494288331,24
20,8.06435961431139,25
20,8.21911546031216,26
20,8.26161156248732,27
20,8.3593538566531,28
20,8.4191076230737,29
20,8.49227144136405,30
20,8.57298879674948,31
20,8.64889804038709,32
20,8.65680168541603,33
20,8.69999023753062,34
20,8.75073652228037,35
20,8.84047118111343,36
20,8.86600851309721,37
20,9.07554640501059,38
20,9.12869096479168,39
20,9.21419572107007,40
20,9.23107734589432,41
20,9.24047602140726,42
20,9.38099211996451,43
20,9.39320411880634,44
20,9.46363360582265,45
20,9.49810112862261,46
20,9.5855248266043,47
20,9.63675238331353,48
20,9.86499077546039,49
21,0,1
21,2.79030769234029,2
21,3.9912089252778,3
21,6.5440553691495,4
21,7.01839258871716,5
21,7.41655211878036,6
21,7.47845702166075,7
21,7.63637077953547,8
21,8.02554479050408,9
21,8.06151168432038,10
21,8.44119095561987,11
21,8.46132987466234,12
21,8.68332845753448,13
21,8.687433096542,14
21,8.74630290848794,15
21,8.80120718188865,16
21,8.93112396641224,17
21,9.13369012790228,18
21,9.24528027138879,19
21,9.25696609289747,20
21,9.70490689619148,21
21,9.99640890223091,22
22,0,1
22,0.379345809756699,2
22,2.97932947777382,3
22,5.18442457533992,4
22,6.13857460029597,5
22,6.37178959831617,6
22,6.44810090434697,7
22,7.91209155877061,8
22,7.95741080236097,9
22,8.01407975201342,10
22,8.12573124457929,11
22,8.36096367044774,12
22,8.40923260114323,13
22,8.58341549573079,14
22,8.7891558510324,15
22,9.37973312622572,16
22,9.47847873556302,17
23,0,1
23,1.47030770896393,2
23,1.65197424421079,3
23,2.23223382811799,4
23,2.31413181369065,5
23,2.94125577504847,6
23,3.20370073329396,7
23,3.80584696644643,8
23,3.90873855058255,9
23,3.92995637585116,10
23,3.98229373359921,11
