"id","b1_estimate","b1_inCI_col","b1_CI_width_col","b2_estimate","b2_inCI_col","b2_CI_width_col"
2511,0.142329265799589,NA,NA,0.0846745416027552,NA,NA
2512,0.581976411809403,NA,NA,0.348985765574167,1,0.277364254549706
2513,0.496840035283897,NA,NA,0.323374637670198,1,0.289223168486887
2514,0.288821053891835,1,0.777013431648244,0.229752621899348,1,0.360107102470685
2515,0.01,NA,NA,0.288820324183784,1,0.777013431689242
2516,0.00999999999999999,NA,NA,0.14232932461402,NA,NA
2517,0.496841750886328,NA,NA,0.350350864773706,1,0.294651472537344
2518,0.443734222825842,NA,NA,0.236511861274096,1,0.270757454086197
2519,0.142329242315742,NA,NA,0.194399792937881,NA,NA
2520,0.412891867631587,1,0.837645284970578,0.311156306422258,1,0.314078959090962
2521,0.01,NA,NA,0.227323316600539,NA,NA
2522,0.377959410269677,1,0.821369009816594,0.31704006608397,1,0.333313454650281
2523,0.496840041743903,NA,NA,0.269255550417534,1,0.266275338549064
2524,0.635128415322912,NA,NA,0.253805531119459,1,0.233605882899516
2525,0.471496810713826,NA,NA,0.416739158133127,1,0.325748503491857
2526,0.581976347804743,NA,NA,0.334613365326509,1,0.271666186895655
2527,0.727317235592541,NA,NA,0.234492285916781,1,0.220134657093944
2528,0.01,NA,NA,0.01,NA,NA
2529,0.581976913941423,NA,NA,0.363643883456021,1,0.283917865386722
2530,0.337450161843006,1,0.80725173067839,0.223229041921343,1,0.324015715071695
2531,0.377960207877329,1,0.821369009804164,0.302086263031914,1,0.328702385175884
2532,0.288820834452677,1,0.777013431684739,0.343845025519734,1,0.402329851256242
2533,0.377957269384705,1,0.821369009810234,0.28676215806648,1,0.324486557818343
2534,0.769639112119613,NA,NA,0.240065520166857,1,0.226465068673701
2535,0.712807351006706,NA,NA,0.348986099508193,1,0.277364254554232
2536,0.227324026670932,NA,NA,0.371047116939543,1,0.466788889273466
2537,0.838285279747814,NA,NA,0.22529350448871,1,0.224885832266774
2538,0.635131239922241,NA,NA,0.212942063595624,1,0.210422483257961
2539,0.635128417100595,NA,NA,0.373225751706465,1,0.286952458205427
2540,0.377960207877329,1,0.821369009804164,0.302086263031914,1,0.328702385175884
2541,0.28882084563184,1,0.777013431685065,0.463529548417591,1,0.435941224807552
2542,0.769641147133639,NA,NA,0.33249616182001,1,0.278298070853436
2543,0.288819070887098,1,0.777013431698075,0.206512661160942,1,0.343362396744212
2544,0.520244096581946,NA,NA,0.381993376211019,1,0.304335408488318
2545,0.337450990719625,1,0.807251730668087,0.311464786817446,1,0.355597299720875
2546,0.01,NA,NA,0.227323316600539,NA,NA
2547,0.142328933024622,NA,NA,0.145943165271315,NA,NA
2548,0.769641335507708,NA,NA,0.461631452276763,1,0.362372350142968
2549,0.142329287900462,NA,NA,0.43812583911941,1,0.58445133561364
2550,0.56257090222118,NA,NA,0.368316675743942,1,0.288911557343606
2551,0.651541654927603,NA,NA,0.373817186314626,1,0.287618776710819
2552,0.01,NA,NA,0.01,NA,NA
2553,0.618129751228049,NA,NA,0.229771860667691,1,0.222020676638104
2554,0.635127974041427,NA,NA,0.341105733099623,1,0.270217221507537
2555,0.712807607760439,NA,NA,0.279885539509741,1,0.240814381054647
2556,0.824594013835344,NA,NA,0.257980964665597,1,0.246991057550594
2557,0.783470976517081,NA,NA,0.318845491233898,1,0.275537976504791
2558,0.741600590806975,NA,NA,0.302120824888272,1,0.258220911583478
2559,0.227324182137614,NA,NA,0.312968110406624,1,0.448244443756121
2560,0.581977016423242,NA,NA,0.26562302712882,1,0.243910532773364
2561,0.288820919548035,1,0.777013431677401,0.251423443062417,1,0.366911362184903
2562,0.288821015645583,1,0.77701343167823,0.271789010936605,1,0.375241808070678
2563,0.288820788482406,1,0.777013431688938,0.375939461456384,1,0.412561102581122
2564,0.852020155315342,NA,NA,0.27313218948348,1,0.259727495489474
